Bin,PT Center Bin Value,Amplitude,Mean,Standard Deviation,Var(Amplitude),Var(Mean),Var(Standard Deviation)
0,15.0,0.009218294491394583,1.2984828589772188,-0.2933273589544373,1.7167255594604836e-08,2.3135181047038656e-05,2.368525810269472e-05
1,25.0,0.010636938680927268,1.0646323155632125,-0.2488133629333407,9.796390494541555e-09,7.146839284790086e-06,7.146993151740272e-06
2,32.5,0.011589421360449933,1.021082773074069,-0.22795033880307536,1.5525506568393688e-08,8.00832646628582e-06,8.008330677539237e-06
3,37.5,0.012379311907917455,1.0067764272533912,-0.21203596561679883,1.6963048769064008e-08,6.635389325655348e-06,6.635389471574332e-06
4,42.5,0.013193496516614339,0.9958163790320824,-0.19842922018731987,2.1779317225448878e-08,6.568361121649962e-06,6.56836105123173e-06
5,51.0,0.014133291190341117,0.984463591400822,-0.18484706025868447,9.825754994517359e-09,2.240907703571927e-06,2.24090771869754e-06
6,64.5,0.015778634517497378,0.9723949743875083,0.16543425171694867,1.0259319312110363e-08,1.5037431511332131e-06,1.5037431608713e-06
7,81.0,0.017461249843951254,0.9696229657665476,0.14899496455566447,1.2877083615546436e-08,1.2501430237909837e-06,1.2501430146983067e-06
8,105.0,0.019069283913023805,0.9642071647016749,0.13647850897217317,9.624078749719096e-09,6.572976336182522e-07,6.572976346044916e-07
9,135.0,0.020850799152142295,0.9681195005660183,0.12361046406888122,1.5669620243276173e-08,7.342977040426109e-07,7.342977113389288e-07
10,175.0,0.02414342715127904,0.9741061159896937,0.10602333025362921,1.5449674548215782e-08,3.972507431957127e-07,3.972507438563903e-07
11,250.0,0.02754703853788774,0.9727594423025107,0.09306362492453821,1.388086326204411e-08,2.112350047315741e-07,2.1123500424602415e-07
12,350.0,0.03131374052328227,0.974943020802455,0.0812023383253388,2.6287007112334444e-08,2.3569199371150473e-07,2.3569199204983104e-07
13,475.0,0.03479833485750296,0.979400619116942,0.07274930735146283,3.5673964700908356e-08,2.0788769080259326e-07,2.078876905263672e-07
14,650.0,0.037764017510695524,0.9805141522059705,0.06682265222412512,3.298248180033864e-08,1.376911583953397e-07,1.3769115831015552e-07
15,875.0,0.04048972083378609,0.9847279306873418,0.06194268065184237,5.414523047072982e-08,1.6895871627410868e-07,1.6895871675828168e-07
16,1125.0,0.04256427611230202,0.9871345970666965,0.058951895720328204,5.131583128371675e-08,1.312480597648273e-07,1.3124805938178135e-07
17,1375.0,0.04376869406806209,0.9889864342347267,0.057685867698328085,5.5654051707693066e-08,1.2889885041181678e-07,1.288988508232616e-07
18,1625.0,0.0447997525587649,0.991049011254439,0.056367542177366003,5.6754612662083776e-08,1.1979644171631796e-07,1.1979644146760677e-07
19,1875.0,0.04675729959783744,0.9905365760899207,-0.05393515854076457,1.0667106086287905e-07,1.8924920015187914e-07,1.8924920053339665e-07
20,2125.0,0.04630413676128567,0.9917505834628414,0.054364777991308226,1.1940419522982865e-07,2.1945666273318714e-07,2.194566629968193e-07
21,2375.0,0.04653644521474533,0.9954885482643512,0.054377918278838644,1.5207468137992683e-07,2.7684992217109163e-07,2.768499229707466e-07
22,2625.0,0.0441153473696998,0.9946941580442574,0.057367507749950475,2.2375948261542758e-07,5.045075414297105e-07,5.045075412648935e-07
23,2875.0,0.04739879358199407,0.9964429969690333,0.05360251084195358,2.0505310561881608e-07,3.496598844660676e-07,3.496598876802694e-07
