Bin,PT Center Bin Value,Amplitude,Mean,Standard Deviation,Var(Amplitude),Var(Mean),Var(Standard Deviation)
0,15.0,0.008160648515009307,1.360885868722941,-0.3440833623343829,1.9600757140844873e-08,4.710057035554129e-05,5.24741235057297e-05
1,25.0,0.009239676275228011,1.0606033942909165,-0.2871635865523397,1.5910168827755707e-08,2.048945540959594e-05,2.049880901099827e-05
2,32.5,0.00998915510115799,1.0002500886274073,-0.2668953419385113,2.4190429301153546e-08,2.302562889372156e-05,2.3026682997474633e-05
3,37.5,0.01061042366007037,0.9872387915324522,-0.25051671829257255,2.517849847854398e-08,1.8714413809172e-05,1.8714580037052085e-05
4,42.5,0.010942790348816544,0.9685085972934409,-0.24260565057067332,2.856828513310029e-08,1.8722982998988958e-05,1.8723072037370765e-05
5,51.0,0.012012072309342882,0.9530963973290332,-0.21955486660523094,1.68339307768852e-08,7.498458942870854e-06,7.498461179322582e-06
6,64.5,0.013604752516468824,0.9493284498989618,-0.19408482208299285,1.3980410370656838e-08,3.793662340465967e-06,3.7936622972535887e-06
7,81.0,0.015049015247775023,0.9421607797923993,-0.17390666279206926,1.2438740643300355e-08,2.21479625975011e-06,2.2147962789878854e-06
8,105.0,0.0168031237499159,0.9400941609620004,0.15522390483185247,1.530437381358166e-08,1.7413587386100333e-06,1.7413587034105446e-06
9,135.0,0.017504893554480934,0.9489117683182451,0.14979995245311833,1.569964450924156e-08,1.5329747255821802e-06,1.5329747420348078e-06
10,175.0,0.02033384241486165,0.960872377685761,0.12665901768409318,1.867345494943178e-08,9.660596607217804e-07,9.66059667606517e-07
11,250.0,0.023364189276755935,0.9668989876603717,0.10977953388799819,2.3063313436644022e-08,6.789095451443109e-07,6.78909545687348e-07
12,350.0,0.026127226035389483,0.970414347706988,0.0974278032678004,4.368264099688472e-08,8.099266356779465e-07,8.099266359275505e-07
13,475.0,0.02856376723582313,0.9734266280688876,0.08921712099357339,4.470625034061357e-08,5.815182648020203e-07,5.815182579142211e-07
14,650.0,0.029460601560021133,0.9751625591398455,0.08617937221140833,6.083916238593733e-08,6.941203563436307e-07,6.941203620414721e-07
15,875.0,0.03198287815374309,0.9796455096129802,0.07796487318560888,9.511578882405293e-08,7.535835005911084e-07,7.53583504295568e-07
16,1125.0,0.03451067133532463,0.984360600283783,0.07123383998862343,1.5702051443215814e-07,8.920241871775644e-07,8.920241809093912e-07
17,1375.0,0.035011883001223855,0.9879540375060162,0.07075679278769195,3.6422383032712866e-07,1.98347909713156e-06,1.9834790816554747e-06
18,1625.0,0.03329315600592809,0.986210853627791,0.07483224763662513,4.3315256945021997e-07,2.9178633936544474e-06,2.9178633630339184e-06
19,1875.0,0.031397797229465146,0.9852659676721779,0.07992048180854432,5.091387976184036e-07,4.39828162264496e-06,4.398281622696303e-06
20,2125.0,0.03176445815775268,0.9877834323229953,0.07562590369698592,1.8695155410681468e-06,1.4133193681392317e-05,1.413319384658157e-05
21,2375.0,0.0285396449492039,0.9793717704980508,0.09297896876266905,2.57610849472489e-06,3.6445300638138334e-05,3.64453007322094e-05
22,2625.0,0.05199023678934568,1.0054414499824817,-0.047244863733042,2.947519197088063e-05,3.243744109523459e-05,3.243744027745028e-05
23,2875.0,0.5335632727665633,1.0566708896557104,-0.0014885929846063111,0.05698979083547961,0.03250140471346408,0.0016240345545496413
