Bin,PT Center Bin Value,Amplitude,Mean,Standard Deviation,Var(Amplitude),Var(Mean),Var(Standard Deviation)
0,15.0,0.012939999782265796,1.142711766909908,-0.20215205071246328,1.8866496510797446e-08,6.139372012799737e-06,6.139376081643072e-06
1,25.0,0.014815383512063218,1.0097752219479215,-0.17781003549565383,5.9407712304739086e-09,1.1409648702446257e-06,1.1409648602642082e-06
2,32.5,0.016292526326187034,1.0050338632430742,0.15956007047813434,1.0033608007230056e-08,1.2831303318763888e-06,1.2831303023949523e-06
3,37.5,0.01695425557708386,1.008928677422275,0.15420912570720835,1.501409491567437e-08,1.6561628782255604e-06,1.656162881699925e-06
4,42.5,0.01753608236416558,1.0043847943872743,0.15025680886014814,1.3157792664992242e-08,1.2880298395469316e-06,1.288029847787171e-06
5,51.0,0.018993243916130654,1.003827732304405,0.13725354912810375,1.1213698108947366e-08,7.807967107876805e-07,7.807967155592683e-07
6,64.5,0.020130734861651955,1.004173474562678,0.12963224722228625,1.4489282014501808e-08,8.011327662639256e-07,8.011327514908783e-07
7,81.0,0.021314429061685927,1.002388811111306,0.12227997150904682,1.3519084092825395e-08,5.932701675556482e-07,5.932701719332971e-07
8,105.0,0.022285274476779863,1.002365855703651,0.11721663304070161,2.1867950101884933e-08,8.066891137346469e-07,8.066891145639093e-07
9,135.0,0.023023121888994132,1.0035013456030821,0.11359523147540831,3.703338712259409e-08,1.2020634399152402e-06,1.202063434456562e-06
10,175.0,0.02347936466621044,1.0123440567611715,0.11194574604179751,3.7654438644274834e-08,1.1412964622578623e-06,1.141296483133154e-06
11,250.0,0.025210827680363715,1.010910480732334,0.10413232667170491,1.468182655181865e-07,3.339723308591989e-06,3.339723276354756e-06
12,350.0,0.023881719121465025,1.0359976502014305,0.10616165489940227,1.5836302897176042e-06,4.171398609642598e-05,4.17139869353804e-05
13,475.0,0.07807696388739521,1.0638165125668695,-0.036699827812153876,7.793235633083596e-05,2.297232006799793e-05,2.297231938301359e-05
14,650.0,5.396722254703551e-19,1.0000000002405658,1.000000004095004,1.883705299168631e-39,3.269867950280483e-20,1.1869308730100174e-19
15,875.0,5.396722254703551e-19,1.0000000002405658,1.000000004095004,1.883705299168631e-39,3.269867950280483e-20,1.1869308730100174e-19
16,1125.0,5.396722254703551e-19,1.0000000002405658,1.000000004095004,1.883705299168631e-39,3.269867950280483e-20,1.1869308730100174e-19
17,1375.0,5.396722254703551e-19,1.0000000002405658,1.000000004095004,1.883705299168631e-39,3.269867950280483e-20,1.1869308730100174e-19
18,1625.0,5.396722254703551e-19,1.0000000002405658,1.000000004095004,1.883705299168631e-39,3.269867950280483e-20,1.1869308730100174e-19
19,1875.0,5.396722254703551e-19,1.0000000002405658,1.000000004095004,1.883705299168631e-39,3.269867950280483e-20,1.1869308730100174e-19
20,2125.0,5.396722254703551e-19,1.0000000002405658,1.000000004095004,1.883705299168631e-39,3.269867950280483e-20,1.1869308730100174e-19
21,2375.0,5.396722254703551e-19,1.0000000002405658,1.000000004095004,1.883705299168631e-39,3.269867950280483e-20,1.1869308730100174e-19
22,2625.0,5.396722254703551e-19,1.0000000002405658,1.000000004095004,1.883705299168631e-39,3.269867950280483e-20,1.1869308730100174e-19
23,2875.0,5.396722254703551e-19,1.0000000002405658,1.000000004095004,1.883705299168631e-39,3.269867950280483e-20,1.1869308730100174e-19
