Bin,PT Center Bin Value,Amplitude,Mean,Standard Deviation,Var(Amplitude),Var(Mean),Var(Standard Deviation)
0,15.0,0.005142574137944176,1.0546607037425657,0.5603961773461261,1.819441048047171e-08,0.0002948086931055097,0.0003939428225204915
1,25.0,0.0072779635190104,1.021946031865951,-0.3677445125147483,2.4957559961259045e-08,8.480216341188863e-05,8.595386658822798e-05
2,32.5,0.008084280750369432,1.0025976895688635,-0.329876577019339,4.4798115474425075e-08,9.940042055858094e-05,9.970322804153824e-05
3,37.5,0.008952241552952767,0.9914954235396262,-0.29694969058847503,6.401574896891844e-08,9.390726682765382e-05,9.395383046539442e-05
4,42.5,0.009690469561379991,0.9832756854926605,-0.27520193063268117,6.60521486415543e-08,7.102437876955236e-05,7.103168468895609e-05
5,51.0,0.011000415832410845,0.9545604721980548,-0.23995277433687795,3.2943104983387404e-08,2.0899989225696153e-05,2.0900090943201808e-05
6,64.5,0.011372569432777467,0.941182941885845,-0.23432262522817532,4.38961134110718e-08,2.4846690760553045e-05,2.4846778939222963e-05
7,81.0,0.012665851052313833,0.9338155182498343,-0.20982725689583379,5.321616124291756e-08,1.9473436348853278e-05,1.947343874203073e-05
8,105.0,0.014485099673708982,0.9380620669554115,-0.18388335294275088,3.8967138083682155e-08,8.372481930501344e-06,8.37248200769208e-06
9,135.0,0.016226297292886358,0.9266589863598393,-0.15975120450117813,9.433664424264814e-08,1.2192176777806006e-05,1.2192176573681325e-05
10,175.0,0.017283001026227037,0.9411262738910349,-0.14813984690718385,7.702607467916312e-08,7.5454672471467776e-06,7.545467280987832e-06
11,250.0,0.01799166176908082,0.9296917621932966,-0.14402352626901924,9.076399680903419e-08,7.755405121621553e-06,7.755405192867178e-06
12,350.0,0.0190580358283177,0.9322960505104086,-0.13530982941211273,1.7317766210843256e-07,1.1640198159629265e-05,1.1640197989957683e-05
13,475.0,0.022089967663254505,0.9433765757999479,0.11546654309717752,2.454794286574221e-07,8.942899422156524e-06,8.942899471659418e-06
14,650.0,0.024147933466977137,0.9480070191424863,0.10506351198993474,4.640015991794101e-07,1.1712205302735696e-05,1.1712205229287267e-05
15,875.0,0.0400503394618264,0.9745724921377719,0.05474030680360529,2.51586862084678e-06,6.267131021011499e-06,6.267131033015567e-06
16,1125.0,0.05678597139747157,0.9951202687411457,0.03607347031358305,3.6772350896109125e-05,1.979628188073111e-05,1.9796281848643198e-05
17,1375.0,0.835985350030025,1.083333213124979,0.001264498629573479,0.0004573785454991856,0.1258487113337432,0.0049020491182200435
18,1625.0,5.396722254703551e-19,1.0000000002405658,1.000000004095004,1.883705299168631e-39,3.269867950280483e-20,1.1869308730100174e-19
19,1875.0,5.396722254703551e-19,1.0000000002405658,1.000000004095004,1.883705299168631e-39,3.269867950280483e-20,1.1869308730100174e-19
20,2125.0,5.396722254703551e-19,1.0000000002405658,1.000000004095004,1.883705299168631e-39,3.269867950280483e-20,1.1869308730100174e-19
21,2375.0,5.396722254703551e-19,1.0000000002405658,1.000000004095004,1.883705299168631e-39,3.269867950280483e-20,1.1869308730100174e-19
22,2625.0,5.396722254703551e-19,1.0000000002405658,1.000000004095004,1.883705299168631e-39,3.269867950280483e-20,1.1869308730100174e-19
23,2875.0,5.396722254703551e-19,1.0000000002405658,1.000000004095004,1.883705299168631e-39,3.269867950280483e-20,1.1869308730100174e-19
