Bin,PT Center Bin Value,Amplitude,Mean,Standard Deviation,Var(Amplitude),Var(Mean),Var(Standard Deviation)
0,15.0,0.008636718985687086,1.033344949510175,-0.29791282542196523,3.042176194687458e-09,4.825621062182047e-06,4.82864106181704e-06
1,25.0,0.012376824720336823,1.0147718021655234,-0.20664627861410118,3.6739135165725413e-09,1.3655478352673095e-06,1.3655478602057065e-06
2,32.5,0.014553252185064142,1.0092733089552697,-0.17600246704505226,5.773849546229322e-09,1.1259505493235668e-06,1.1259505497209853e-06
3,37.5,0.01580032437005252,1.0058162729545412,-0.16171057120222088,6.5686151430121615e-09,9.173926091009742e-07,9.173926226980315e-07
4,42.5,0.016782856821741528,1.0059472878030793,0.15262485914701204,8.626276939825588e-09,9.512282041412415e-07,9.512281998253387e-07
5,51.0,0.01812162414731363,1.005139107102788,0.14147314207164258,6.388763329134514e-09,5.191761549768172e-07,5.191761541496007e-07
6,64.5,0.019982223938095005,1.0040918469588596,0.12873652515467676,7.505779247032216e-09,4.1538121647824785e-07,4.153812173831686e-07
7,81.0,0.02206930945270896,1.003026858545538,0.11672414891257096,8.516264719859242e-09,3.176413203552528e-07,3.176413188962585e-07
8,105.0,0.023935953074587946,1.0025173996067378,0.10790918346259362,9.309717764232829e-09,2.5228600710804055e-07,2.522860040929378e-07
9,135.0,0.02634849338066651,1.001854690702096,0.09815737740142959,1.0707633945971808e-08,1.9813651001210838e-07,1.9813650795717368e-07
10,175.0,0.029585068904831587,1.0021090170473974,0.08736892481541511,8.612409386475496e-09,1.001450141741132e-07,1.0014501401147343e-07
11,250.0,0.03402904967007916,1.001699181483199,-0.07616025686842316,7.541635084650663e-09,5.036946845061854e-08,5.0369468547201405e-08
12,350.0,0.03936979686183706,1.0011292988247127,-0.06585153591537767,7.45267948164504e-09,2.780075638637631e-08,2.780075643161918e-08
13,475.0,0.0434560294584381,1.0002511045319675,-0.05959962160091436,7.005137395265057e-09,1.7568782648351533e-08,1.7568782579232132e-08
14,650.0,0.04822143782972132,1.0004801030072061,-0.05370146411616046,7.296391905019295e-09,1.2065313318827704e-08,1.2065313204632117e-08
15,875.0,0.05200860284205048,1.0006204780754517,-0.049599676058941694,9.002388007980226e-09,1.0917073980965504e-08,1.0917074118389204e-08
16,1125.0,0.0554877062658592,1.0009917727811506,-0.04636420936609184,1.1045203703431376e-08,1.0282182182588003e-08,1.0282182071594433e-08
17,1375.0,0.057387513203433264,1.001319378516756,-0.04466104418346187,1.816264214889954e-08,1.4667014475043357e-08,1.4667014370253003e-08
18,1625.0,0.05897595012262534,1.0014254165931713,-0.04332464308503064,2.4642547362518553e-08,1.773155015794404e-08,1.7731550615996285e-08
19,1875.0,0.06003245763316926,1.0016004480658047,-0.042441790653649294,3.5922560513579755e-08,2.394005243023209e-08,2.3940052592902772e-08
20,2125.0,0.0608522150151323,1.0009698964672358,-0.041674134872627125,5.790011052299992e-08,3.620770183604006e-08,3.6207702565704764e-08
21,2375.0,0.06133905958344232,1.000149729144533,-0.04113135497546866,8.94754329213958e-08,5.364370737463808e-08,5.364370717248211e-08
22,2625.0,0.06169225909127738,0.9993218901833941,-0.04080905535164635,1.1731724221735651e-07,6.844703571210346e-08,6.844703517739882e-08
23,2875.0,0.0624552342989997,0.9982092528502039,-0.04010728433781982,1.492996767206428e-07,8.20942834323613e-08,8.209428407347541e-08
