PT Bin,Amplitude,Mean,Standard Deviation,Var(Amplitude),Var(Mean),Var(Standard Deviation)
0,0.011909601022601347,1.0339308343680604,-0.21482559714980737,7.1368480778849475e-09,3.0962032524569146e-06,3.0962035133225726e-06
1,0.015153314005208697,1.0104504439067192,-0.16967318920564953,8.62071578697396e-09,1.4411164532559726e-06,1.441116452971228e-06
2,0.01678788302332069,1.0028723085145537,0.15423228872109573,1.0796723005350186e-08,1.2150483520078821e-06,1.215048348198005e-06
3,0.018010156127326378,1.0031181288047473,0.14310658740601642,1.5259881069638652e-08,1.2846371929587436e-06,1.28463718804896e-06
4,0.018309168735251145,1.0017333080277935,0.14197866963295533,1.609313007752014e-08,1.2903392657022125e-06,1.2903392523394678e-06
5,0.01967670278870722,1.0010721132740639,0.13186709265179414,1.1793049810582983e-08,7.062002444009511e-07,7.06200245736441e-07
6,0.020605306346254633,0.9991606461748084,0.12663977040771932,1.1444439505106758e-08,5.763905409926267e-07,5.763905354657102e-07
7,0.022391353035464794,0.9999369246179574,0.11596485639995631,1.3019682593070956e-08,4.6561733260066454e-07,4.6561732640942925e-07
8,0.02394457593533399,0.9995861081782677,0.10889986497735328,1.9029267973601094e-08,5.248039882962955e-07,5.24803990505711e-07
9,0.026038928977743705,0.9984671952766853,0.10042611247381082,1.723006835246918e-08,3.4172774701059846e-07,3.417277425410713e-07
10,0.028238145522613493,1.0007531414419488,0.09247900581487925,1.6744011961536007e-08,2.3944910889943976e-07,2.394491059502458e-07
11,0.03235361235415527,0.9992731335516247,-0.08062084055169805,1.1074808464438498e-08,9.169111242544341e-08,9.169111314263222e-08
12,0.03638395940659563,0.9996788410144131,-0.0718738584481487,1.24711598251653e-08,6.488839075068584e-08,6.488839034499332e-08
13,0.03956811007091014,1.0003643349633349,-0.06597818860790734,1.2310892365852107e-08,4.5639205012476344e-08,4.563920588537688e-08
14,0.04299934667570373,1.00169498098133,-0.0605903704075929,1.0955626260358936e-08,2.90040318287957e-08,2.9004031256388267e-08
15,0.045809148672242984,1.002322104927965,-0.056625104313740626,1.4051761286941974e-08,2.862747241794773e-08,2.862747245613173e-08
16,0.047488624946988384,1.0023134923621946,-0.054777490255624325,1.856151400540943e-08,3.292887486908907e-08,3.292887480507549e-08
17,0.04928995189363171,1.0021807829652514,-0.05257677872997015,3.023863784873981e-08,4.587452786523553e-08,4.587452865065613e-08
18,0.05026387105420306,1.0025200562338386,-0.051201210279959615,2.8467509859769073e-08,3.938549537663474e-08,3.9385494886698955e-08
19,0.0515291166680831,1.0012516639875497,-0.049724769940988935,4.8590339173782526e-08,6.032946677666462e-08,6.032946767816713e-08
20,0.052870847408177234,0.9984812072058048,-0.048409563683070096,4.548438336827868e-08,5.084301379047356e-08,5.084301457765948e-08
21,0.052816629031122574,0.9975368729152551,-0.04841563466329417,8.557112484998833e-08,9.587394915715034e-08,9.58739491825916e-08
22,0.05247218414310884,0.9968425315760475,-0.04839567495241476,1.1697555129882857e-07,1.3267589541127855e-07,1.3267589606609023e-07
23,0.050709747400720095,0.9934712615364597,0.05071118211934238,1.6954991956767413e-07,2.2607410700999447e-07,2.2607410699937593e-07
